number,value,params_lncrna_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
80,0.9500330045511299,4.0864553955336715,100.0,0.3,9,9,80,COMPLETE
81,0.9570051124428772,4.876883793813478,100.0,log2,9,10,120,COMPLETE
82,0.9579300232860618,5.153523522775545,100.0,log2,9,11,140,COMPLETE
83,0.0,5.672970715381003,100.0,log2,10,11,150,COMPLETE
84,0.9575641459153914,5.163110992786441,100.0,log2,9,13,140,COMPLETE
85,0.9570151003103572,5.271703000019928,100.0,log2,8,11,160,COMPLETE
86,0.9570721585101486,4.602800824188179,100.0,log2,9,12,180,COMPLETE
87,0.9568912392401696,4.1935498575019965,100.0,log2,10,6,90,COMPLETE
88,0.9563221850669663,5.695364412903632,100.0,log2,7,8,120,COMPLETE
89,0.9466037844607019,3.7172001506852506,50.0,0.2,5,13,200,COMPLETE
90,0.9503281290948387,2.5414216211185923,,log2,9,10,100,COMPLETE
91,0.9573809062766605,4.822807655968677,100.0,log2,9,10,130,COMPLETE
92,0.9576005483025977,5.22733224766183,100.0,log2,9,11,140,COMPLETE
93,0.9577621065144588,4.612966510363048,100.0,log2,10,9,130,COMPLETE
94,0.9576587214440178,4.578534105280967,100.0,log2,10,8,110,COMPLETE
95,0.958053864396804,5.660230960686642,100.0,sqrt,10,9,170,COMPLETE
96,0.9581935837373848,5.619214530799529,100.0,sqrt,10,12,170,COMPLETE
97,0.9485686450475197,5.608818186648331,100.0,sqrt,3,12,170,COMPLETE
98,0.9577610767644208,5.361267547184507,100.0,sqrt,10,14,190,COMPLETE
99,0.9584246879992002,5.997245328775243,30.0,sqrt,10,11,160,COMPLETE
100,0.9582950329620014,5.799377069427542,30.0,sqrt,10,12,170,COMPLETE
101,0.9583942760477955,5.785631860942795,30.0,sqrt,10,12,210,COMPLETE
102,0.9584675106953067,5.827279859731752,30.0,sqrt,10,12,210,COMPLETE
103,0.9585197645151676,5.697405441456784,30.0,sqrt,10,12,250,COMPLETE
104,0.9584888385210671,5.873777375736773,30.0,sqrt,10,13,250,COMPLETE
105,0.9581891281994063,5.924730945970802,30.0,sqrt,10,14,250,COMPLETE
106,0.9586071751893962,5.966661206010042,30.0,sqrt,10,14,260,COMPLETE
107,0.958457750868575,5.979415808276165,30.0,sqrt,10,15,220,COMPLETE
108,0.9584272131206789,5.866182129340135,30.0,sqrt,10,16,210,COMPLETE
109,0.9584414440699424,5.943454775319907,30.0,sqrt,10,16,220,COMPLETE
110,0.9582780823971057,5.823245155803835,30.0,sqrt,10,16,240,COMPLETE
111,0.9585255303080845,5.946083742806106,30.0,sqrt,10,17,210,COMPLETE
112,0.9581396236963199,5.506402023537708,30.0,sqrt,10,17,230,COMPLETE
113,0.9584888298432923,5.927032977914624,30.0,sqrt,10,18,290,COMPLETE
114,0.9574846151270521,4.930877944302517,30.0,sqrt,10,18,310,COMPLETE
115,0.9585216981194004,5.48401036978017,30.0,sqrt,10,16,280,COMPLETE
116,0.958064931236725,5.418397873772807,30.0,sqrt,10,15,290,COMPLETE
117,0.9581429079875815,5.414928617344436,30.0,sqrt,10,17,260,COMPLETE
118,0.9575945182406437,5.0314317613840736,30.0,sqrt,10,18,240,COMPLETE
119,0.9585116700677544,5.956243799117213,30.0,sqrt,10,15,280,COMPLETE
120,0.9574596125743723,4.898507581463248,30.0,sqrt,10,19,300,COMPLETE
121,0.9580688409245575,5.646284187522292,30.0,sqrt,10,15,280,COMPLETE
122,0.9587573895774608,5.989335520027035,30.0,sqrt,10,17,270,COMPLETE
123,0.9581583732161576,5.41964614291014,30.0,sqrt,10,19,270,COMPLETE
124,0.9583423477653125,5.993371232174444,30.0,sqrt,10,17,260,COMPLETE
125,0.9575480009995031,5.116939842703335,30.0,sqrt,10,18,280,COMPLETE
126,0.9580657213241136,5.620709686832458,30.0,sqrt,10,16,250,COMPLETE
